Temps(temps),50°C,55°C,60°C,65°C,70°C
0,89.139,89.139,89.139,89.139,89.139
3600,84.857,79.274,75.273,69.984,60.660
7200,74.153,67.838,60.234,51.615,40.757
10800,55.383,48.737,37.794,30.930,20.828
14400,41.838,36.664,23.348,17.370,9.224
18000,30.484,22.803,12.834,8.326,5.023
21600,19.118,14.004,8.645,6.105,5.007
25200,14.389,10.248,7.178,6.032,5.006
28800,11.209,7.589,6.440,5.032,4.006
32400,8.543,7.016,5.440,4.032,3.006
36000,7.298,6.016,4.440,3.032,2.006
39600,6.120,5.016,3.440,2.032,1.006
43200,5.120,3.016,2.440,1.032,0.5006
46800,3.120,1.016,1.440,0.032,0.0506
