"Date","Indice"
1,86.3
2,87.6
3,96.3
4,90.4
5,90.4
6,94.4
7,95.2
8,36.6
9,96.1
10,95.6
11,92.8
12,77.3
13,85.1
14,86.8
15,96.9
16,90.5
17,88.5
18,87.9
19,90.2
20,36.9
21,92.3
22,88
23,86.8
24,77.1
25,80.7
26,82.3
27,92.6
28,79.5
29,87
30,86.7
31,84.8
32,38.4
33,90.8
34,87.7
35,89.5
36,74.6
37,85.4
38,85.3
39,92.6
40,78.9
41,93.3
42,90
43,88.6
44,43
45,89.3
46,97.5
47,89.7
48,73.7
49,84.1
50,87.3
51,92.7
52,84.5
53,93.9
54,88.4
55,93.9
56,39.1
57,91.4
58,96.5
59,89.7
60,77
61,86.2
62,88.9
63,92.6
64,93.6
65,92.4
66,91.8
67,99
68,37.5
69,97.9
70,101
71,91.3
72,83.3
73,82.9
74,90.9
75,102.2
76,95.3
77,96
78,100.5
79,100.5
80,39.3
81,100.3
82,103
83,99.1
84,86.5
85,89.4
86,99.8
87,109.5
88,94.2
89,104.2
90,106.1
91,100.8
92,46.9
93,107.2
94,104.3
95,106.3
96,93.3
97,98.3
98,101.4
99,109
100,97.5
101,107.5
102,110.3
103,104.2
104,50.3
105,108.1
106,112.2
107,109.5
108,89.8
109,101.2
110,101.8
111,112.6
112,98.1
113,110.3
114,105.8
115,109
116,51.1
117,103.6
118,113.8
119,104.6
120,88.2
121,102.9
122,99.6
123,105.9
124,97.6
125,108.6
126,103.1
127,110.9
128,46.3
129,106.9
130,112.8
131,105.3
132,89.1
133,98.1
134,102.8
135,111.5
136,102.4
137,103.1
138,109.7
139,111.1
140,43.4
141,104.1
142,107.1
143,105.4
144,87.8
145,89.3
146,98.7
147,111.3
148,98.5
149,102.4
150,105.7
151,103.9
152,45
153,104.5
154,101.9
155,104.1
156,92.9
157,90.2
158,99.4
159,113.3
160,97.9
161,110.6
162,112.4
163,108.8
164,52.6
165,112.9
166,109.2
167,111.7
168,99.3
169,102.8
170,107.6
171,123.6
172,98.9
173,117.5
174,117.7
175,113.4
176,58.5
177,114.1
178,117.8
179,115.5
180,96.6
181,106.1
182,111.3
183,115.6
184,103.5
185,115.3
186,110.1
187,118.1
188,52
189,110.7
190,118.2
191,108.1
192,93.6
